"nuvirdi";"teg_eign";"matssvaedi";"ibm2"
18636;"Íbúðareign";200;117
17533;"Íbúðareign";70;67.9
14472;"Íbúðareign";20;45.7
14850;"Íbúðareign";200;78.1
20831;"Íbúðareign";70;87.4
17134;"Íbúðareign";220;69.2
65933;"Einbýlishús";280;197.1
23500;"Íbúðareign";90;85.4
24503;"Íbúðareign";100;100.8
19969;"Íbúðareign";72;78.6
30958;"Íbúðareign";72;123.2
36386;"Íbúðareign";100;119.4
31468;"Íbúðareign";90;94.9
22000;"Íbúðareign";150;106.7
17434;"Íbúðareign";200;96.7
21000;"Íbúðareign";85;80.3
24742;"Íbúðareign";130;112
20182;"Íbúðareign";130;106
14790;"Íbúðareign";161;57.7
15717;"Íbúðareign";11;53.1
18438;"Íbúðareign";90;77.3
30480;"Íbúðareign";70;90.3
34481;"Íbúðareign";91;127.3
26945;"Íbúðareign";100;103.1
13943;"Íbúðareign";80;51.7
16505;"Íbúðareign";160;67.8
23800;"Íbúðareign";100;105.8
15100;"Íbúðareign";20;63.2
22473;"Íbúðareign";140;95.4
21636;"Íbúðareign";90;84.8
63238;"Einbýlishús";25;154.1
33891;"Einbýlishús";100;118.7
26073;"Íbúðareign";130;92.3
17527;"Íbúðareign";25;57.8
12274;"Íbúðareign";160;38.2
24875;"Íbúðareign";85;89.2
14600;"Íbúðareign";150;67.2
26410;"Íbúðareign";180;107.2
27834;"Íbúðareign";90;94.5
32265;"Íbúðareign";90;99.8
46820;"Einbýlishús";120;156
19986;"Íbúðareign";11;75.3
25069;"Íbúðareign";20;115.7
15478;"Íbúðareign";20;61
26637;"Íbúðareign";20;115.7
20381;"Íbúðareign";210;65.6
31697;"Íbúðareign";281;131.1
21032;"Íbúðareign";200;114.8
28723;"Íbúðareign";100;109
24969;"Íbúðareign";20;82.5
12902;"Íbúðareign";80;51.7
25233;"Íbúðareign";20;68.8
16830;"Íbúðareign";91;68.1
13000;"Íbúðareign";80;61.2
23986;"Íbúðareign";72;85.5
22335;"Íbúðareign";150;106.7
26501;"Íbúðareign";130;88.3
25353;"Íbúðareign";100;79.2
27924;"Íbúðareign";90;80.4
35309;"Íbúðareign";100;148.9
22469;"Íbúðareign";130;88
26893;"Íbúðareign";100;93.3
18349;"Íbúðareign";91;82.7
15360;"Íbúðareign";72;56.5
36824;"Einbýlishús";100;159.9
108148;"Einbýlishús";25;352.3
21558;"Íbúðareign";220;83
24389;"Íbúðareign";91;95.2
19484;"Íbúðareign";90;59.4
26964;"Íbúðareign";72;85.1
16382;"Íbúðareign";100;69.1
16579;"Íbúðareign";90;56.6
14116;"Íbúðareign";170;64.1
33645;"Íbúðareign";72;93.9
18225;"Íbúðareign";11;66.2
21082;"Íbúðareign";130;101.9
31289;"Íbúðareign";72;109.9
23086;"Íbúðareign";70;81.8
26905;"Íbúðareign";20;87.6
22700;"Íbúðareign";100;88.6
18318;"Íbúðareign";11;73
17700;"Íbúðareign";100;47.3
18164;"Íbúðareign";72;55.1
22998;"Íbúðareign";120;97.4
15383;"Íbúðareign";210;56.6
35794;"Einbýlishús";100;219.8
35499;"Íbúðareign";280;122.7
54096;"Íbúðareign";31;210.3
21425;"Íbúðareign";120;74.4
30446;"Íbúðareign";110;100
15809;"Íbúðareign";72;57.3
28768;"Íbúðareign";100;115.2
17950;"Íbúðareign";200;105.2
18178;"Íbúðareign";72;56.2
30803;"Íbúðareign";281;117.4
22429;"Íbúðareign";80;82.7
13562;"Íbúðareign";200;72
20916;"Íbúðareign";200;125.7
